Country,State,Company_Owned,Franchise,Joint_Venture,Licensed,Total
Andorra,7,0,0,0,1,1
UAE,AJ,0,0,0,2,2
UAE,AZ,0,0,0,48,48
UAE,DU,0,0,0,82,82
UAE,FU,0,0,0,2,2
UAE,RK,0,0,0,3,3
UAE,SH,0,0,0,6,6
UAE,UQ,0,0,0,1,1
Argentina,B,0,0,0,21,21
Argentina,C,0,0,1,72,73
Argentina,M,0,0,0,5,5
Argentina,S,0,0,0,3,3
Argentina,X,0,0,0,6,6
Austria,3,1,0,0,0,1
Austria,5,3,0,0,0,3
Austria,9,13,0,0,1,14
Australia,NSW,0,0,0,9,9
Australia,QLD,0,0,0,8,8
Australia,VIC,0,0,0,5,5
Aruba,AW,0,0,0,3,3
Azerbaijan,BA,0,0,0,3,3
Azerbaijan,SAB,0,0,0,1,1
Belgium,BE,0,0,0,4,4
Belgium,VAN,0,0,0,1,1
Belgium,VBR,0,0,0,2,2
Belgium,VLG,0,0,0,10,10
Belgium,WAL,0,0,0,2,2
Bulgaria,2,0,0,0,1,1
Bulgaria,23,0,0,0,4,4
Bahrain,13,0,0,0,16,16
Bahrain,14,0,0,0,2,2
Bahrain,15,0,0,0,3,3
Brunei Darussalam,BE,0,0,0,1,1
Brunei Darussalam,BM,0,0,0,3,3
Brunei Darussalam,TU,0,0,0,1,1
Bolivia,S,0,0,0,4,4
Brazil,RJ,23,0,0,0,23
Brazil,SP,79,0,0,0,79
Bahamas,BI,0,0,0,1,1
Bahamas,NS,0,0,0,9,9
Canada,AB,183,0,0,105,288
Canada,BC,319,0,0,93,412
Canada,MB,29,0,0,25,54
Canada,NB,12,0,0,2,14
Canada,NL,6,0,0,1,7
Canada,NS,14,0,0,6,20
Canada,ON,425,0,0,109,534
Canada,PE,2,0,0,0,2
Canada,QC,93,0,0,12,105
Canada,SK,12,0,0,18,30
Canada,YT,2,0,0,0,2
Switzerland,AG,3,0,0,0,3
Switzerland,BE,5,0,0,0,5
Switzerland,BS,5,0,0,0,5
Switzerland,FR,1,0,0,1,2
Switzerland,GE,7,0,0,1,8
Switzerland,LU,2,0,0,0,2
Switzerland,SG,5,0,0,0,5
Switzerland,VD,4,0,0,0,4
Switzerland,ZG,2,0,0,0,2
Switzerland,ZH,23,0,0,2,25
Chile,BI,0,0,0,4,4
Chile,LI,0,0,0,1,1
Chile,RM,0,0,0,87,87
Chile,VS,0,0,0,4,4
China,11,236,0,0,0,236
China,12,58,0,0,0,58
China,13,24,0,0,0,24
China,14,8,0,0,0,8
China,15,8,0,0,0,8
China,21,57,0,0,0,57
China,22,13,0,0,0,13
China,23,16,0,0,0,16
China,31,0,0,551,0,551
China,32,0,0,354,0,354
China,33,0,0,315,0,315
China,34,26,0,0,0,26
China,35,75,0,0,0,75
China,36,13,0,0,0,13
China,37,75,0,0,0,75
China,41,21,0,0,0,21
China,42,76,0,0,0,76
China,43,35,0,0,0,35
China,44,333,0,0,0,333
China,45,21,0,0,0,21
China,46,16,0,0,0,16
China,50,41,0,0,0,41
China,51,104,0,0,0,104
China,52,9,0,0,0,9
China,53,24,0,0,0,24
China,61,42,0,0,0,42
China,62,3,0,0,0,3
China,63,3,0,0,0,3
China,64,2,0,0,0,2
China,91,0,0,0,162,162
China,92,0,0,0,13,13
Colombia,DC,0,0,0,11,11
Costa Rica,A,0,0,0,2,2
Costa Rica,SJ,0,0,0,9,9
Curaçao,CW,0,0,0,3,3
Cyprus,1,0,0,0,4,4
Cyprus,2,0,0,0,4,4
Cyprus,3,0,0,0,1,1
Cyprus,5,0,0,0,1,1
Czech Repulic,JM,0,0,4,0,4
Czech Repulic,MO,0,0,2,0,2
Czech Repulic,PR,0,0,22,0,22
Germany,BB,2,0,0,0,2
Germany,BE,18,0,0,2,20
Germany,BW,20,0,0,1,21
Germany,BY,16,0,0,2,18
Germany,HB,4,0,0,0,4
Germany,HE,20,0,0,6,26
Germany,HH,11,0,0,2,13
Germany,NI,6,0,0,0,6
Germany,NW,34,0,0,0,34
Germany,RP,2,0,0,4,6
Germany,SH,2,0,0,0,2
Germany,SL,2,0,0,0,2
Germany,SN,5,0,0,0,5
Germany,TH,0,0,0,1,1
Denmark,15,0,0,0,4,4
Denmark,81,0,0,0,3,3
Denmark,83,0,0,0,1,1
Denmark,84,0,0,0,9,9
Denmark,DK,0,0,0,4,4
Egypt,ALX,0,0,0,1,1
Egypt,C,0,0,0,27,27
Egypt,JS,0,0,0,3,3
Spain,AB,0,0,0,1,1
Spain,AN,0,0,0,16,16
Spain,BI,0,0,0,2,2
Spain,C,0,0,0,2,2
Spain,CL,0,0,0,2,2
Spain,CT,0,0,0,20,20
Spain,IB,0,0,0,2,2
Spain,M,0,0,0,1,1
Spain,MA,0,0,0,1,1
Spain,MD,0,0,0,50,50
Spain,MU,0,0,0,1,1
Spain,SS,0,0,0,1,1
Spain,Z,0,0,0,1,1
Spain,ZAB,0,0,0,1,1
Finland,18,0,0,0,3,3
Finland,2,0,0,0,2,2
Finland,ES,0,0,0,3,3
France,A,0,2,0,0,2
France,B,0,4,0,1,5
France,C,0,0,0,1,1
France,D,0,1,0,0,1
France,F,0,0,0,1,1
France,J,61,0,0,25,86
France,K,0,0,0,1,1
France,N,0,1,0,1,2
France,O,1,3,0,1,5
France,R,0,4,0,0,4
France,S,0,0,0,1,1
France,U,7,0,0,7,14
France,V,5,0,0,4,9
Great Britan,ENG,296,280,0,211,787
Great Britan,NIR,0,0,0,19,19
Great Britan,SCT,41,7,0,17,65
Great Britan,WLS,10,15,0,5,30
Greece,A1,0,0,0,20,20
Greece,B,0,0,0,2,2
Greece,L,0,0,0,2,2
Greece,M,0,0,0,4,4
Guatemala,GU,0,0,0,7,7
Hungary,BU,0,0,16,0,16
Indonesia,BA,0,0,0,12,12
Indonesia,BT,0,0,0,11,11
Indonesia,JB,0,0,0,14,14
Indonesia,JI,0,0,0,10,10
