Country,Owner_Type,Count
Andorra,Licensed,1
UAE,Licensed,144
Argentina,Joint Venture,1
Argentina,Licensed,107
Austria,Company Owned,17
Austria,Licensed,1
Australia,Licensed,22
Aruba,Licensed,3
Azerbaijan,Licensed,4
Belgium,Licensed,19
Bulgaria,Licensed,5
Bahrain,Licensed,21
Brunei Darussalam,Licensed,5
Bolivia,Licensed,4
Brazil,Company Owned,102
Bahamas,Licensed,10
Canada,Company Owned,1097
Canada,Licensed,371
Switzerland,Company Owned,57
Switzerland,Licensed,4
Chile,Licensed,96
China,Company Owned,1339
China,Joint Venture,1220
China,Licensed,175
Colombia,Licensed,11
Costa Rica,Licensed,11
Curaçao,Licensed,3
Cyprus,Licensed,10
Czech Repulic,Joint Venture,28
Germany,Company Owned,142
Germany,Licensed,18
Denmark,Licensed,21
Egypt,Licensed,31
Spain,Licensed,101
Finland,Licensed,8
France,Company Owned,74
France,Franchise,15
France,Licensed,43
Great Britan,Company Owned,347
Great Britan,Franchise,302
Great Britan,Licensed,252
Greece,Licensed,28
Guatemala,Licensed,7
Hungary,Joint Venture,16
Indonesia,Licensed,268
Ireland,Licensed,73
India,Joint Venture,88
Jordan,Licensed,17
Japan,Company Owned,101
Japan,Joint Venture,1070
Japan,Licensed,66
Combodia,Licensed,4
South Korea,Joint Venture,993
Kuwait,Licensed,106
Kazaksthan,Licensed,8
Lebnan,Licensed,29
Luxembourg,Licensed,2
Morocco,Licensed,9
Monaco,Licensed,2
Mexico,Licensed,579
Malaysia,Joint Venture,6
Malaysia,Licensed,228
Netherlands,Company Owned,10
Netherlands,Licensed,49
Norway,Licensed,17
Newzeland,Licensed,24
Oman,Licensed,12
Panama,Licensed,5
Peru,Licensed,89
Philippines,Licensed,298
Poland,Joint Venture,53
Proto Rueico,Company Owned,1
Proto Rueico,Licensed,23
Portugal,Licensed,11
Qatar,Licensed,18
Romania,Licensed,27
Russia,Joint Venture,107
Russia,Licensed,2
South Africa,Licensed,102
Sweden,Licensed,18
Singapore,Company Owned,130
Slovakia,Licensed,3
Salvador,Licensed,11
Thiland,Company Owned,289
Turkey,Licensed,326
Trinidad and Tobago,Licensed,3
Taiwan,Joint Venture,394
USA,Company Owned,8226
USA,Licensed,5382
Vietnam,Licensed,25
Zambia,Licensed,3
