Country,Company_Owned,Franchise,Licensed,Joint_Venture
Andorra,0,0,1,0
UAE,0,0,144,0
Argentina,0,0,107,1
Austria,17,0,1,0
Australia,0,0,22,0
Aruba,0,0,3,0
Azerbaijan,0,0,4,0
Belgium,0,0,19,0
Bulgaria,0,0,5,0
Bahrain,0,0,21,0
Brunei Darussalam,0,0,5,0
Bolivia,0,0,4,0
Brazil,102,0,0,0
Bahamas,0,0,10,0
Canada,1097,0,371,0
Switzerland,57,0,4,0
Chile,0,0,96,0
China,1339,0,175,1220
Colombia,0,0,11,0
Costa Rica,0,0,11,0
Curaçao,0,0,3,0
Cyprus,0,0,10,0
Czech Repulic,0,0,0,28
Germany,142,0,18,0
Denmark,0,0,21,0
Egypt,0,0,31,0
Spain,0,0,101,0
Finland,0,0,8,0
France,74,15,43,0
Great Britan,347,302,252,0
Greece,0,0,28,0
Guatemala,0,0,7,0
Hungary,0,0,0,16
Indonesia,0,0,268,0
Ireland,0,0,73,0
India,0,0,0,88
Jordan,0,0,17,0
Japan,101,0,66,1070
Combodia,0,0,4,0
South Korea,0,0,0,993
Kuwait,0,0,106,0
Kazaksthan,0,0,8,0
Lebnan,0,0,29,0
Luxembourg,0,0,2,0
Morocco,0,0,9,0
Monaco,0,0,2,0
Mexico,0,0,579,0
Malaysia,0,0,228,6
Netherlands,10,0,49,0
Norway,0,0,17,0
Newzeland,0,0,24,0
Oman,0,0,12,0
Panama,0,0,5,0
Peru,0,0,89,0
Philippines,0,0,298,0
Poland,0,0,0,53
Proto Rueico,1,0,23,0
Portugal,0,0,11,0
Qatar,0,0,18,0
Romania,0,0,27,0
Russia,0,0,2,107
South Africa,0,0,102,0
Sweden,0,0,18,0
Singapore,130,0,0,0
Slovakia,0,0,3,0
Salvador,0,0,11,0
Thiland,289,0,0,0
Turkey,0,0,326,0
Trinidad and Tobago,0,0,3,0
Taiwan,0,0,0,394
USA,8226,0,5382,0
Vietnam,0,0,25,0
Zambia,0,0,3,0
